X.Y..m..d,EASTEU,LATAM,CHINA,INDIA,ENERGY,MINING,GOLD,WATER
28/05/2002,-0.005183,0.00136,-0.001566,-0.04012,0,0,-0.0006194,0.008465
29/05/2002,-0.01911,-0.004767,-0.007868,0.01482,-0.007673,0.01137,0.03171,-0.0006937
30/05/2002,0.008665,-0.01444,0.001579,-0.004633,-0.006145,-0.003776,-0.01695,0.002847
31/05/2002,-0.01512,-0.006949,0.007855,-0.009756,-0.01199,-0.00823,-0.02098,-0.0134
03/06/2002,0,0.00209,-0.001566,0.01271,0,-0.00446,-0.003122,0.0125
04/06/2002,0,-0.01331,-0.007868,-0.008453,0,0.0108,0.03018,0.0006834
05/06/2002,-0.001524,-0.005658,0.007868,0.02722,-0.01295,-0.014,-0.0159,-0.02144
06/06/2002,0.02113,-0.007832,0.004691,0.001238,-0.004115,-0.01095,-0.03833,0.001734
07/06/2002,-0.01543,-0.02974,-0.003125,-0.02464,-0.0001015,-0.004544,0.01966,-0.007497
10/06/2002,0.01169,0.002941,0.007794,0.02794,0.0002951,-0.01772,-0.04628,-0.003619
11/06/2002,-0.001876,0.005126,-0.00311,0.05168,-0.008427,-0.01737,-0.06594,0.002275
12/06/2002,0.002625,-0.0125,0.001556,0.04542,-0.007112,0.008722,0.03318,-0.0006342
13/06/2002,0.0007488,-0.01716,0.009288,-0.04581,0.007233,-0.008722,-0.02547,-0.01458
14/06/2002,-0.02424,0.0007522,-0.01084,-0.005091,-0.005548,-0.01152,-0.006998,0.000156
17/06/2002,-0.004227,-0.009823,-0.01728,0.008601,-0.01097,-0.01235,0.01117,-0.0107
18/06/2002,-0.01357,0.01432,-0.004766,-0.002338,0.01984,-0.0006904,-0.02389,0.0004276
19/06/2002,-0.01178,-0.01053,-0.02581,-0.01692,-0.004049,0.009622,0.03494,0.009747
20/06/2002,-0.01032,-0.01678,0.006515,0.00554,-0.0129,-0.00274,-0.008276,0.009382
21/06/2002,-0.02219,-0.03443,-0.001625,-0.01551,-0.002832,0.00479,0.03805,-0.005144
24/06/2002,0.007317,-0.03072,0.01292,0.001602,-0.005517,0.004767,0.007968,0.005339
25/06/2002,-0.01469,0.007362,-0.008058,-0.00602,0.003378,-0.01437,-0.016,-0.01985
26/06/2002,-0.02035,0,-0.02126,-0.008896,0.001411,0,0.00603,0.01791
27/06/2002,0.01333,-0.01726,0.004946,0.01331,-0.007082,-0.01668,-0.03743,-0.01494
28/06/2002,0.006601,0.01726,0.00982,0.01037,0.007262,0.01115,-0.01537,0.02144
01/07/2002,0.01145,0.02892,-0.004898,0.007902,0.01417,0,-0.03658,0.002262
02/07/2002,-0.01021,-0.01838,-0.003279,0.00745,0.001025,0.004839,0.01953,-0.01853
03/07/2002,-0.02327,-0.0179,0.01305,0.003899,-0.01827,-0.02656,-0.03425,-0.00285
04/07/2002,0.02777,0,0.01288,0.01353,-0.004965,-0.004258,-0.01268,-0.006386
05/07/2002,0.007332,0.00246,0,-0.002306,0,0.009204,0.00225,0.01379
08/07/2002,0.0113,0.005717,0.001599,0.01034,0.0344,0.01677,0.003738,-0.0006713
09/07/2002,0.004005,0.009725,0.004781,-0.001524,-0.007323,0.006906,0.02578,-0.00506
10/07/2002,0.006375,0.003221,-0.00638,-0.00497,-0.002927,0.009589,0.05242,-0.02381
11/07/2002,-0.01682,-0.02606,-0.01126,-0.02209,-0.01952,-0.02624,-0.01041,-0.01468
12/07/2002,-0.004858,0.02526,0.008058,0.009749,-0.02065,-0.002803,-0.01546,-0.000981
15/07/2002,-0.001625,0.005616,-0.006441,-0.01486,-0.006142,-0.008457,-0.00497,-0.01295
16/07/2002,-0.01681,-0.01939,-0.00811,0.006282,-0.01958,-0.01569,-0.002138,-0.006968
17/07/2002,0.01477,-0.005726,-0.00982,-0.01857,-0.01042,-0.01302,-0.03484,0.005426
18/07/2002,0.01456,0.01627,-0.001646,0.01818,0.009468,0.002909,-0.0209,-0.00347
19/07/2002,-0.01987,-0.01055,-0.01327,-0.0007834,-0.01269,0.01299,0.03118,-0.003763
22/07/2002,-0.02278,-0.007368,-0.02879,-0.02862,-0.04148,-0.01154,0.001461,-0.0507
23/07/2002,-0.01861,-0.03939,0.01872,-0.01054,-0.05001,-0.04146,-0.05553,-0.02785
24/07/2002,-0.04228,-0.03302,-0.02389,-0.01189,-0.03172,-0.06237,-0.1014,-0.001919
25/07/2002,0.007099,0.01491,-0.005195,0.006576,0.03049,0.02149,0.04017,0.004507
26/07/2002,-0.04429,-0.02825,-0.02105,-0.04055,-0.01162,-0.03689,-0.05653,0.008188
29/07/2002,0.03139,-0.02081,0.01233,-0.01634,0.01033,-0.0307,-0.07665,0.02897
30/07/2002,0.01995,0.0009137,0.02764,0.00519,0.04254,0.03883,0.06178,-0.002226
31/07/2002,0.0004389,-0.01287,0.01354,-0.02933,-0.001008,0.005657,0.03719,0.001154
01/08/2002,-0.0004389,-0.01023,-0.006745,0.01499,0.003509,-0.03443,-0.03807,-0.01039
02/08/2002,0,0.001867,-0.02397,-0.01766,0,0.003331,0.02783,0.006009
05/08/2002,0,0.02214,-0.02812,0.02333,-0.04018,-0.01846,0.02289,-0.02522
06/08/2002,-0.04443,-0.04193,-0.01256,-0.003487,-0.03284,-0.03621,-0.04107,-0.02116
07/08/2002,0.02179,0.02814,0.01789,0.02671,0.02988,0.02771,0.01817,0.03723
08/08/2002,0.01072,0.02917,-0.001775,-0.02541,0.007387,0.03111,0.03124,0.0204
09/08/2002,0.0004441,0.0405,0.0106,-0.0008726,0.02782,0.01397,-0.002497,0.009771
12/08/2002,-0.01341,-0.03781,-0.01238,0.003051,0.002408,0.00813,0.03198,-0.004674
13/08/2002,0.0103,-0.01626,0.007092,0.009959,-0.002493,-0.01715,-0.00729,-0.006178
14/08/2002,0.02028,-0.02677,-0.007092,-0.002588,-0.004341,0.00575,0.01292,0.004477
15/08/2002,0.01085,0,0.01938,0,0.0214,0,0,-0.01021
16/08/2002,0.001726,0.02768,0.003484,0.002588,0.01738,0.00978,0.01117,0.0203
19/08/2002,0.0137,0.0216,0.005204,0.00858,-0.003014,-0.001623,-0.01037,0.004081
20/08/2002,0.0004251,0.007982,0.008613,0.01189,0.008739,-0.004886,-0.03177,-0.006009
21/08/2002,0.003394,-0.008873,0.006838,0.006312,-0.01702,0.00732,0.0008275,0.002948
22/08/2002,0.02303,0.0124,0.008482,0.002514,0.011,0.008071,-0.008306,0.003034
23/08/2002,-0.00873,-0.003527,-0.01019,-0.002514,0.01643,0.01437,0.01654,-0.01002
26/08/2002,0,-0.006203,-0.003419,0.002932,0,-0.00238,-0.005759,0.007185
27/08/2002,0.01574,0.02545,-0.008599,-0.01178,-0.0007914,0.01576,0.03805,0.002735
28/08/2002,-0.002057,-0.01045,-0.008673,-0.002118,0.001643,0.01936,0.0251,-0.01349
29/08/2002,-0.01745,-0.01233,-0.00524,0,-0.02578,-0.02249,-0.006216,0.005627
30/08/2002,-0.001258,0.02192,0.003497,0.01473,-0.01243,0.01479,0.04645,0.001978
02/09/2002,-0.004205,-0.01134,-0.008764,0.008323,0.004831,-0.005424,-0.008218,0.00156
03/09/2002,-0.02087,0.0008768,-0.005296,-0.01125,0,0.001553,0.01784,-0.01923
04/09/2002,-0.002154,-0.02485,0.001768,0.008347,-0.03262,-0.02196,0.0007366,0.0006634
05/09/2002,0.002584,0.001795,0,0.01608,-0.00195,0.0007927,0.002941,-0.007897
06/09/2002,0.006431,-0.01082,-0.001768,-0.02275,-0.007283,0.004743,0.02035,0.007474
09/09/2002,-0.0008551,0.004523,0,-0.03361,0.02248,0.01952,0.01994,-0.002876
10/09/2002,0.01612,0.017,0.01406,-0.002166,-0.002471,0.01153,0.009126,0.005517
11/09/2002,0.007547,0.007073,0.003484,0.01293,0.01652,-0.00383,-0.0334,-0.0002769
12/09/2002,-0.002509,0.009645,0.001738,0.01192,0.004142,0.009167,0.01292,-0.01331
13/09/2002,-0.01988,-0.007005,0,-0.02051,-0.02258,-0.005337,0.03504,-0.01036
16/09/2002,-0.002566,-0.00617,-0.02996,-0.002594,-0.001944,-0.002296,-0.006218,0.002441
17/09/2002,0.01107,-0.0008846,0.02124,0.001298,0.002266,-0.0007666,-0.007652,-0.009298
18/09/2002,-0.02227,-0.03329,-0.01589,-0.0113,-0.02433,-0.006926,-0.002797,-0.006234
19/09/2002,-0.0004332,-0.02314,0.001778,-0.02032,-0.00572,-0.0007725,0.006978,0.004383
20/09/2002,0.006908,-0.04403,-0.005343,0.003119,-0.02102,-0.008537,-0.0006957,-0.01605
23/09/2002,0.003865,0.005854,-0.005372,0.0004447,0.0001354,0.008537,0.008316,-0.01222
24/09/2002,-0.01207,-0.03565,-0.005401,-0.01388,-0.01288,-0.02504,-0.0167,-0.004647
25/09/2002,0.01122,-0.009114,-0.007246,0.008083,-0.01306,-0.007157,0.009777,0.001932
26/09/2002,0.01236,0.006085,0.00544,0.008905,0.01644,-0.0007984,-0.03825,0.01566
27/09/2002,-0.007656,0.01505,0.007207,0.002214,0.0202,0.007163,-0.02042,-0.005493
30/09/2002,-0.01419,-0.04066,-0.009017,-0.01965,-0.009785,-0.005567,0.01172,-0.003334
01/10/2002,-0.006518,-0.004158,-0.00363,-0.004068,-0.01199,0.003185,0.0007281,0.001905
02/10/2002,0.01299,0.04581,0,-0.005905,0.01713,0.001589,-0.01985,-0.005313
03/10/2002,0.002578,-0.00699,-0.01281,-0.003651,-0.0007295,-0.002384,0.004444,-0.002957
04/10/2002,-0.006027,0.00699,0.00184,-0.002289,-0.0006514,-0.002389,-0.00222,-0.01704
07/10/2002,-0.003027,-0.00299,-0.01668,0.02445,-0.01453,-0.008811,0,-0.0154
08/10/2002,-0.006082,-0.01914,-0.007505,0.02036,-0.01495,-0.007267,-0.02323,-0.01206
09/10/2002,-0.007435,0,0.003759,0.005245,-0.01232,-0.01223,-0.03158,-0.01809
10/10/2002,-0.007491,-0.02576,-0.01322,-0.0167,-0.02422,-0.001642,0.01012,0.006653
11/10/2002,0.01318,0,0.007576,0.02495,0.01401,0.0041,-0.01798,0.01465
14/10/2002,-0.002185,0.01964,0,-0.001298,0.02867,0.02744,0.02569,0.0037
15/10/2002,0.01735,-0.009255,0.02791,-0.006515,0.01143,0.003973,0,0.02775
16/10/2002,0.01027,0.01842,0.01095,0.00348,0.03059,0.003957,-0.02806,-0.01324
17/10/2002,0.007208,-0.01636,0.01262,-0.007409,-0.01372,0.001579,-0.007937,0.008567
18/10/2002,-0.001268,0.02645,0.007143,0.01906,0.01633,0.0102,-0.01364,-0.002853
21/10/2002,0.02671,0.006006,-0.003565,-0.006459,-0.001728,0.006226,-0.002426,0.01059
22/10/2002,0.006159,0.006962,-0.007168,-0.01875,0.004507,0.003871,-0.01058,-0.001252
23/10/2002,-0.01901,0.0009906,0.02837,-0.002203,-0.02692,0.009231,0.03458,-0.001946
24/10/2002,-0.005438,0.01864,-0.00175,-0.007083,0.01232,-0.0023,-0.01433,-0.0006512
25/10/2002,-0.00589,0.005814,-0.003509,-0.01838,-0.01009,0.004594,0.003203,-0.0009389
28/10/2002,0,0.01153,0.01049,-0.01183,-0.00445,0.006093,0.00558,0.005576
29/10/2002,0.01922,-0.01831,-0.02643,0.01229,-0.001446,-0.003804,0.02589,-0.002128
30/10/2002,-0.001242,-0.01076,0.003565,0.002259,-0.02284,-0.00535,-0.0007749,0.0161
31/10/2002,0.02537,0.03288,-0.008937,0.02231,0.03229,0.006873,0.0007749,0.003268
01/11/2002,0,0,-0.003597,0,0.01251,0,0,0.007852
04/11/2002,0.01085,0.02165,0.01609,0.001764,0.01398,0.01361,0.0207,0.01387
05/11/2002,0.006772,-0.001864,-0.001775,0.005272,-0.004482,0.01638,0.01581,0.0003739
06/11/2002,-0.009573,0.004653,0.00708,-0.0004383,-0.0009208,0.002213,-0.0007471,0.002313
07/11/2002,0.001202,-0.004653,0.001762,-0.003953,0.009551,0.01681,0.0229,9.52E-05
08/11/2002,0.004792,-0.008431,0.01051,-0.004853,-0.01442,0.002894,0.01234,-0.003109
11/11/2002,0.0007965,0,-0.01051,-0.002214,-0.0004961,0.001444,-0.005789,-0.006879
12/11/2002,0.008325,-0.007554,-0.003527,0.002656,-0.008849,-0.01161,-0.001452,0.0009927
13/11/2002,0.003547,-0.01336,0,0.00309,0.001701,0.003643,0.003627,-0.00757
14/11/2002,0.009397,-0.001923,0.007042,0.014,-0.0175,-0.008032,-0.02641,0.005943
15/11/2002,0.005053,0.01528,0.01221,0.02532,0.01615,0,0.00297,0.005822
18/11/2002,0.00657,-0.004751,-0.005213,-0.0004238,0.005313,0.01383,0.02706,-0.001354
19/11/2002,-0.003086,0.008535,-0.00524,0.0008475,0.00491,0.005049,-0.004338,-0.005952
20/11/2002,-0.01049,-0.0114,-0.005268,0.006333,-0.004955,-0.02182,-0.02718,0.003528
21/11/2002,0.01165,0.01234,0,0.006293,0.01069,0.008785,-0.01425,0.002177
22/11/2002,0.01266,0.02699,0.001759,0.01164,0.01213,0.01591,-0.006061,0.001867
25/11/2002,0.003804,-0.01015,0.003509,0.01273,-0.01146,-0.008646,-0.001521,-0.0001127
26/11/2002,0.003789,0,-0.003509,0.00894,-0.001149,-0.01826,-0.02232,-0.01309
27/11/2002,-0.01103,-0.00932,0,-0.01016,-0.0133,-0.005172,-0.00468,0.02044
28/11/2002,0.009515,0.02405,0.005259,0.0138,0.02083,0.01616,-0.003917,-0.02122
29/11/2002,-0.001516,0.0009137,-0.00175,0.007629,0,0.007986,0.005479,0.02488
02/12/2002,0.004164,0.001825,0.01736,0.01863,0.01261,0.01364,0.007001,0.008011
03/12/2002,-0.003406,0.01986,0.01027,-0.01623,0.003503,0.00427,-0.005441,-0.008011
04/12/2002,-0.01297,-0.01259,-0.01027,-0.01487,0.0003101,0.005666,0.04421,0.003204
05/12/2002,0.00345,-0.01183,0.00515,0.01088,-0.007608,-0.002829,0.01554,-0.003848
06/12/2002,-0.007298,-0.01198,-0.00515,0.03271,0.004053,-0.003547,0.01458,0.004884
09/12/2002,0.001541,0.01106,-0.003448,-0.0117,0.0116,0.007788,0.02572,-0.01018
10/12/2002,0.003075,-0.01664,0.003448,-0.007482,-0.01095,-0.006367,0.002113,0.009428
11/12/2002,-0.01236,0.01204,-0.001723,0.007482,0.008636,-0.01214,-0.0199,0.002893
12/12/2002,-0.008192,0.009166,0.006873,0.005867,-0.002757,0.009296,0.02271,0.006679
13/12/2002,0.005079,0.003643,-0.001714,0.01433,0.00811,0.01132,0.06322,-0.009013
16/12/2002,0.008151,0.002724,-0.005159,-0.004238,0.001131,0.009804,0.01049,0.01439
17/12/2002,0.001545,0.01797,0.008584,-0.01009,0.01426,0.02478,0.02128,-0.00685
18/12/2002,-0.009696,0.001779,-0.006861,0.009317,0.002797,-0.01576,-0.03971,-0.001334
19/12/2002,-0.009004,0.006203,-0.001723,0.009614,-0.01124,0.008938,0.04733,0.0009514
20/12/2002,0.003533,0.01142,0.008584,0.001147,0.003616,-0.008247,-0.02566,-0.0005563
23/12/2002,0.005861,0.009561,-0.005141,-0.003063,0.01104,0.006878,0,0.004145
24/12/2002,-0.007037,0,0.001717,0,0.006929,0,0,0.00545
25/12/2002,0,0,0,0,0,0,0,0.0004852
26/12/2002,0,0,-0.001717,0,0,0,0,0.004742
27/12/2002,0,-0.0201,-0.00172,0.02049,-0.002613,0.01429,0.03825,-0.0119
30/12/2002,0.01634,-0.008865,-0.02263,-0.004896,-0.01228,0.0006754,0.01305,0.00836
31/12/2002,0.001928,-0.006253,0.005268,-0.006438,0.007916,0.002024,-0.02121,0.002695
01/01/2003,0,0,0,0,0.001334,0,0,0
02/01/2003,0.0003851,0.005362,0.003497,0.005683,0,-0.002024,0.002519,-0.01467
03/01/2003,0.01604,0.01679,0.01387,0.006402,0,0.01008,0.001885,0.01096
06/01/2003,0.001893,0.008726,0.00515,-0.01246,0.01704,0.01526,0.03879,0.008453
07/01/2003,-0.001514,0.02996,0,0.004172,0.01195,-0.008595,-0.01154,-0.006713
08/01/2003,-0.006842,-0.005072,0.01022,0.009418,-0.02206,-0.003992,-0.02976,0.00661
09/01/2003,-0.006889,-0.008511,0.01347,0.009702,-0.01016,0.006645,0.03524,0.001601
10/01/2003,0.016,0.02198,0.008326,-0.01534,0.01802,0.005943,-0.008542,0.002402
13/01/2003,0.006404,-0.00335,0.01318,-0.01176,0.002735,0.007216,0.006109,-0.003378
14/01/2003,0.002251,0,-0.008217,0.01138,-0.003825,-0.003929,-0.01041,0.006845
15/01/2003,-0.001125,0.009186,0,0.004141,-0.00899,-0.01122,-0.02935,-0.004242
16/01/2003,0.000375,-0.01423,-0.00995,0.006366,0.005273,-0.008664,-0.006357,0.009604
17/01/2003,-0.009797,-0.009318,-0.005013,-0.00524,0.009115,0.009327,0.03817,-0.004197
20/01/2003,-0.009511,-0.0189,-0.001676,-0.006399,-0.007857,-0.005986,-0.01671,-0.0004468
21/01/2003,-0.01424,-0.002605,0.008354,-0.003405,0,-0.003341,-0.005634,-0.008565
22/01/2003,-0.01681,-0.02643,0.001663,-0.001896,-0.02074,-0.01077,0.01742,-0.01088
23/01/2003,-0.009509,-0.02166,-0.003328,-0.01492,-0.00588,0.004725,0.02618,0.00584
24/01/2003,0.009509,-0.008246,-0.008368,-0.0171,0.001468,0.01005,0.007186,-0.003118
27/01/2003,-0.0151,-0.02045,-0.01695,-0.0166,-0.01016,-0.01681,0.01304,-0.01356
28/01/2003,0.006385,-0.01323,0.008511,0.0111,-0.01952,-0.01572,-0.02023,-2.56E-05
29/01/2003,0.004366,0.003799,0.005072,-0.003949,0.008866,-0.002759,-0.01088,-0.004127
